Company,Field,Reservoir,Type,County,State,Region,Working,Total,MDD
"Caledonia Energy Partners, LLC",Caledonia,Carter,Depleted Field,"Lowndes, Monroe",MS,Producing,18500000,23200000,550000
CenterPoint Energy - Mississippi River Transmission Corporation,St. Jacob,St Peter,Aquifer,"Madison, St. Claire",IL,Consuming East,2038874,4798874,26000
CenterPoint Energy - Mississippi River Transmission Corporation,East Unionville,Vaughn,Depleted Field,Lincoln,LA,Producing,27568160,55200000,390000
CenterPoint Energy - Mississippi River Transmission Corporation,West Unionville,Vaughn,Depleted Field,Lincoln,LA,Producing,11465506,25000000,190000
CenterPoint Energy Gas Transmission Company,Ruston,James,Depleted Field,Lincoln,LA,Producing,4500000,7500000,70000
CenterPoint Energy Gas Transmission Company,Ada,Upper Cromwell,Depleted Field,Pontotoc,OK,Producing,13000000,21414000,295000
CenterPoint Energy Gas Transmission Company,Chiles Dome,Wapanucka,Depleted Field,Coal,OK,Producing,13500000,24500000,309000
Central New York Oil and Gas Company,Stagecoach,Widell Barnhart Owen,Depleted Field,Tioga,NY,Consuming East,24787815,30537815,500000
"Chestunut Ridge Storage, LLC",Junction,--,Depleted Field,"Fayette, Magnolia, Preston",PA,--,--,--,--
Clear Creek Storage Company,Clear Creek,Nugget,Depleted Field,Unita,WY,Consuming West,4000000,8000000,50000
Colorado Interstate Gas Company,Flank,Morrow And Cherokee,Depleted Field,Baca,CO,Consuming West,7182777,18620319,164104
Colorado Interstate Gas Company,Fort Morgan,Dakota D,Depleted Field,Morgan,CO,Consuming West,8496000,14858000,450000
Colorado Interstate Gas Company,Latigo,Dakota J,Depleted Field,Arapahoe,CO,Consuming West,9100000,21382766,139240
Colorado Interstate Gas Company,Totem Storage,J Sand,Depleted Field,Adams,CO,Consuming West,7000000,10700000,200000
Colorado Interstate Gas Company,Boehm,Morrow G And Keyes,Depleted Field,Morton,KS,Producing,5229000,12729000,124321
Columbia Gas Tranmission Corporation,Dundee,Oriskany,Depleted Field,"Salt Domehuyler, Steuben",NY,Consuming East,4170000,11360000,62400
Columbia Gas Tranmission Corporation,Greenwood,Oriskany,Depleted Field,Steuben,NY,Consuming East,130000,3325000,0
Columbia Gas Tranmission Corporation,North Greenwood,Oriskany,Depleted Field,Steuben,NY,Consuming East,1130000,3200000,5400
Columbia Gas Tranmission Corporation,Benton,Clinton,Depleted Field,"Hocking, Vinton, Ross",OH,Consuming East,8483000,25100000,145100
Columbia Gas Tranmission Corporation,Brinker,2Nd Berea,Depleted Field,Columbiana,OH,Consuming East,3120000,7650000,42300
Columbia Gas Tranmission Corporation,Crawford,Clinton,Depleted Field,"Fairfield, Hocking",OH,Consuming East,31403000,79103000,294800
Columbia Gas Tranmission Corporation,Guernsey,Oriskany,Depleted Field,"Guernsey, Muskingum",OH,Consuming East,2680000,7300000,35000
Columbia Gas Tranmission Corporation,Holmes,Clinton,Depleted Field,"Holms, Wayne, Asland",OH,Consuming East,10900000,21700000,67600
Columbia Gas Tranmission Corporation,Laurel,Clinton,Depleted Field,Hocking,OH,Consuming East,7885000,23300000,168600
Columbia Gas Tranmission Corporation,Lorain,Clinton,Depleted Field,Lorain,OH,Consuming East,3430000,10700000,62200
Columbia Gas Tranmission Corporation,Lucas,Clinton,Depleted Field,Ashland,OH,Consuming East,25506512,60400000,408900
Columbia Gas Tranmission Corporation,McArthur,Clinton,Depleted Field,Vinton,OH,Consuming East,5337913,10900000,75900
Columbia Gas Tranmission Corporation,Medina,Clinton,Depleted Field,Medina,OH,Consuming East,4435000,10400000,70500
Columbia Gas Tranmission Corporation,Pavonia,Clinton,Depleted Field,"Ashland, Richland",OH,Consuming East,24581000,49500000,284700
Columbia Gas Tranmission Corporation,Wayne,Clinton,Depleted Field,"Wayne, Holm, Ashland",OH,Consuming East,8260000,17400000,108800
Columbia Gas Tranmission Corporation,Weaver,Clinton,Depleted Field,"Ashland, Knox, Richland",OH,Consuming East,19974751,50500000,177300
Columbia Gas Tranmission Corporation,Wellington,Clinton,Depleted Field,"Lorain, Medina",OH,Consuming East,8885000,23099850,153900
Columbia Gas Tranmission Corporation,Artemas A,Oriskany,Depleted Field,Bedford,PA,Consuming East,8775000,14457000,250000
Columbia Gas Tranmission Corporation,Artemas B,Oriskany,Depleted Field,Bedford,PA,Consuming East,1320000,2147000,42500
Columbia Gas Tranmission Corporation,Donegal,Gordon St,Depleted Field,Washington,PA,Consuming East,4990000,9900000,219700
Columbia Gas Tranmission Corporation,Heard,Big Injun 50 Ft,Depleted Field,"Greene, Washington",PA,Consuming East,8500000,8900000,0
Columbia Gas Tranmission Corporation,Holbrook,Gantz Sand,Depleted Field,Greene,PA,Consuming East,410000,1540000,7500
Columbia Gas Tranmission Corporation,Majorsville DP,Big Injun Ninevah Gordon 50Ft,Depleted Field,"Green,  Marshall, Washington",PA,Consuming East,23000000,24523000,0
Columbia Gas Tranmission Corporation,Majorsville SH,Salt Sands,Depleted Field,"Green,  Marshall, Washington",PA,Consuming East,3300000,3483000,0
Columbia Gas Tranmission Corporation,Coco A,Oriskany,Depleted Field,Kanawha,WV,Consuming East,23513473,39140000,413200
Columbia Gas Tranmission Corporation,Coco B,Oriskany,Depleted Field,Kanawha,WV,Consuming East,3535000,9700000,154000
Columbia Gas Tranmission Corporation,Coco C,Oriskany,Depleted Field,Kanawha,WV,Consuming East,8540000,18770000,138700
Columbia Gas Tranmission Corporation,Glady,Chert Oriskany,Depleted Field,"Randolph, Pocahantas",WV,Consuming East,12807000,31200000,323300
Columbia Gas Tranmission Corporation,Hunt,Oriskany,Depleted Field,Kanawha,WV,Consuming East,1100000,6139900,12400
Columbia Gas Tranmission Corporation,Lanham,Big Lime,Depleted Field,"Kanawha, Putnam",WV,Consuming East,1860000,5000000,47600
Columbia Gas Tranmission Corporation,Ripley,Oriskany,Depleted Field,Jackson,WV,Consuming East,10553000,25050000,83200
Columbia Gas Tranmission Corporation,Rockport,Oriskany,Depleted Field,"Jackson, Wood",WV,Consuming East,3811000,8160000,114300
Columbia Gas Tranmission Corporation,Terra Alta,Chert Oriskany,Depleted Field,Preston,WV,Consuming East,13400000,43463000,210300
Columbia Gas Tranmission Corporation,Terra Alta South,Chert Oriskany,Depleted Field,Preston,WV,Consuming East,4540000,17400000,66700
Columbia Gas Tranmission Corporation,Victory A,Maxton,Depleted Field,Wetzel,WV,Consuming East,2919000,7150000,67700
Columbia Gas Tranmission Corporation,Victory B,Maxton Big Injun,Depleted Field,"Marshall, Wetzel",WV,Consuming East,10494711,25100000,166800
Copiah County Storage Company,Copiah,--,Salt Dome,Copiah,MS,--,--,--,--
"Dominion Transmission, Inc.",Quinlan,Onondoga Reef,Depleted Field,Cattaraugas,NY,Consuming East,4000000,7900000,300000
"Dominion Transmission, Inc.",Woodhull,Oriskany,Depleted Field,Steuben,NY,Consuming East,20597000,35904000,357000
"Dominion Transmission, Inc.",Ellisburg,Oriskany,Depleted Field,Potter,PA,Consuming East,43314000,76776000,815880
"Dominion Transmission, Inc.",Greenlick,Oriskany,Depleted Field,"Potter, Clinton",PA,Consuming East,28830000,55860000,1062000
"Dominion Transmission, Inc.",Harrison,Oriskany,Depleted Field,Potter,PA,Consuming East,20717600,34100000,455000
"Dominion Transmission, Inc.",Leidy Tamarack,Oriskany Sandstone,Depleted Field,"Clinton, Potter",PA,Consuming East,61201000,113223000,1224000
"Dominion Transmission, Inc.",North Summit,Chert,Depleted Field,Fayette,PA,Consuming East,11500000,23000000,3000000
"Dominion Transmission, Inc.",Oakford,Murrysville,Depleted Field,Westmoreland,PA,Consuming East,81400000,132400000,1405000
"Dominion Transmission, Inc.",Sabinsville,Oriskany,Depleted Field,"Potter, Tioga",PA,Consuming East,17697000,35618000,518000
"Dominion Transmission, Inc.",Sharon,Oriskany,Depleted Field,Potter,PA,Consuming East,2405000,4605000,25000
"Dominion Transmission, Inc.",South Bend,One Hundred Foot San,Depleted Field,Indiana,PA,Consuming East,5810000,17340000,200000
"Dominion Transmission, Inc.",Tioga,Oriskany,Depleted Field,Tioga,PA,Consuming East,24000000,36000000,504000
"Dominion Transmission, Inc.",Bridgeport,Fifth Sand,Depleted Field,Harrison,WV,Consuming East,4182000,8221000,81600
"Dominion Transmission, Inc.",Kennedy Lost Creek,Gantz,Depleted Field,"Harrison, Lewis, Doddridge",WV,Consuming East,87539000,165521000,1100000
"Dominion Transmission, Inc.",Racket New Berne,Gantz Sandstone,Depleted Field,"Ritchie, Gilmer",WV,Consuming East,4446000,7911000,50000
"East Cheyenne Gas Storage, LLC",Peetz West,West Peetz,Depleted Field,Logan,CO,Consuming West,14500000,25300000,268519
"Egan Hub Partners, LP",Egan Storage Dome,N A,Salt Dome,Acadia,LA,Producing,25510000,33200000,2300000
El Paso Natural Gas Company,Washington Ranch,Morrow,Depleted Field,Edd,NM,Producing,44037872,68600000,250000
"Enstor Houston Hub Storage and Transportation, LP",Houston Hub,--,Salt Dome,Liberty,TX,--,--,--,--
"Equitrans, LP",Bunola,Bunola,Depleted Field,"Allegheny, Washington",PA,Consuming East,4450870,7300000,180000
"Equitrans, LP",Finleyville,Finleyville,Depleted Field,Washington,PA,Consuming East,520253,800000,38000
"Equitrans, LP",Hunters Cave,Hunters Cave,Depleted Field,Greene,PA,Consuming East,3750208,6700000,36000
"Equitrans, LP",Pratt,Pratt,Depleted Field,"Greene, Washingotn",PA,Consuming East,4989255,9300000,65000
"Equitrans, LP",Swarts and Swarts West,Swarts And Swarts West,Depleted Field,Greene,PA,Consuming East,1581357,2600000,41000
"Equitrans, LP",Tepe,Tepe,Depleted Field,Allegheny,PA,Consuming East,757767,1275000,43000
"Equitrans, LP",Comet,Comet,Depleted Field,Taylor,WV,Consuming East,3657597,5300000,68000
"Equitrans, LP",Hayes,Hayes,Depleted Field,Marion,WV,Consuming East,154690,193000,6000
